id,title,authors,venue,year
304586,THE WASA2 OBJECT-ORIENTED WORKFLOW MANAGEMENT SYSTEM,"GOTTFRIED VOSSEN, MATHIAS WESKE",SIGMOD Conference,1999
304587,A USER-CENTERED INTERFACE FOR QUERYING DISTRIBUTED MULTIMEDIA DATABASES,"ISABEL F. CRUZ, KIMBERLY M. JAMES",SIGMOD Conference,1999
304589,"WORLD WIDE DATABASE-INTEGRATING THE WEB, CORBA AND DATABASES","ATHMAN BOUGUETTAYA, BOUALEM BENATALLAH, LILY HENDRA, JAMES BEARD, KEVIN SMITH, MOURAD QUZZANI",SIGMOD Conference,1999
304590,XML-BASED INFORMATION MEDIATION WITH MIX,"CHAITAN BARU, AMARNATH GUPTA, BERTRAM LUDASCHER, RICHARD MARCIANO, YANNIS PAPAKONSTANTINOU, PAVEL VELIKHOV, VINCENT CHU",SIGMOD Conference,1999
304582,THE CCUBE CONSTRAINT OBJECT-ORIENTED DATABASE SYSTEM,"ALEXANDER BRODSKY, VICTOR E. SEGAL, JIA CHEN, PAVAL A. EXARKHOPOULO",SIGMOD Conference,1999
304583,THE CORNELL JAGUAR PROJECT: ADDING MOBILITY TO PREDATOR,"PHILLIPPE BONNET, KYLE BUZA, ZHIYUAN CHAN, VICTOR CHENG, RANDOLPH CHUNG, TAKAKO HICKEY, RYAN KENNEDY, DANIEL MAHASHIN, TOBIAS MAYR, IVAN OPRENCAK, PRAVEEN SESHADRI, HUBERT SIU",SIGMOD Conference,1999
304584,THE ACTIVE MULTISYNC CONTROLLER OF THE CUBETREE STORAGE ORGANIZATION,"NICK ROUSSOPOULOS, YANNIS KOTIDIS, YANNIS SISMANIS",SIGMOD Conference,1999
304585,THE JUNGLE DATABASE SEARCH ENGINE,"MICHAEL BOHLEN, LINAS BUKAUSKAS, CURTIS DYRESON",SIGMOD Conference,1999
306112,ADEPT: AN AGENT-BASED APPROACH TO BUSINESS PROCESS MANAGEMENT,"N. R. JENNINGS, T. J. NORMAN, P. FARATIN",SIGMOD Record,1998
306115,A COMPONENTIZED ARCHITECTURE FOR DYNAMIC ELECTRONIC MARKETS,"BENNY REICH, ISRAEL BEN-SHAUL",SIGMOD Record,1998
306119,DESIGN AND IMPLEMENTATION OF RMP: A VIRTUAL ELECTRONIC MARKET PLACE,"SUSANNE BOLL, WOLFGANG KLAS, BERNARD BATTAGLIN",SIGMOD Record,1998
306124,DISCOVERING INTERNET MARKETING INTELLIGENCE THROUGH ONLINE ANALYTICAL WEB USAGE MINING,"ALEX G. BUCHNER, MAURICE D. MULVENNA",SIGMOD Record,1998
