id,title,authors,venue,year
journals/sigmod/Mackay99,SEMANTIC INTEGRATION OF ENVIRONMENTAL MODELS FOR APPLICATION TO GLOBAL INFORMATION SYSTEMS AND DECISION-MAKING,D. SCOTT MACKAY,SIGMOD Record,1999
conf/vldb/PoosalaI96,ESTIMATION OF QUERY-RESULT DISTRIBUTION AND ITS APPLICATION IN PARALLEL-JOIN LOAD BALANCING,"VISWANATH POOSALA, YANNIS E. IOANNIDIS",VLDB,1996
conf/vldb/PalpanasSCP02,INCREMENTAL MAINTENANCE FOR NON-DISTRIBUTIVE AGGREGATE FUNCTIONS,"THEMISTOKLIS PALPANAS, RICHARD SIDLE, HAMID PIRAHESH, ROBERTA COCHRANE",VLDB,2002
conf/vldb/GardarinGT96,COST-BASED SELECTION OF PATH EXPRESSION PROCESSING ALGORITHMS IN OBJECT-ORIENTED DATABASES,"ZHAO-HUI TANG, GEORGES GARDARIN, JEAN-ROBERT GRUSER",VLDB,1996
conf/vldb/HoelS95,BENCHMARKING SPATIAL JOIN OPERATIONS WITH SPATIAL OUTPUT,"ERIK G. HOEL, HANAN SAMET",VLDB,1995
conf/sigmod/Keim99,EFFICIENT GEOMETRY-BASED SIMILARITY SEARCH OF 3D SPATIAL DATABASES,DANIEL A. KEIM,SIGMOD Conference,1999
journals/sigmod/Ouksel02,MINING THE WORLD WIDE WEB: AN INFORMATION SEARCH APPROACH - BOOK REVIEW,ARIS M. OUKSEL,SIGMOD Record,2002
journals/vldb/Seshadri98,ENHANCED ABSTRACT DATA TYPES IN OBJECT-RELATIONAL DATABASES,PRAVEEN SESHADRI,VLDB J.,1998
journals/sigmod/RamamrithamS97,REPORT ON DART '96: DATABASES: ACTIVE AND REAL-TIME (CONCEPTS MEET PRACTICE),"NANDIT SOPARKAR, KRITHI RAMAMRITHAM",SIGMOD Record,1997
journals/sigmod/DAndreaJ96,UNISQL'S NEXT-GENERATION OBJECT-RELATIONAL DATABASE MANAGEMENT SYSTEM,"PHIL JANUS, ALBERT D'ANDREA",SIGMOD Record,1996
conf/vldb/KemperK94,DUAL-BUFFERING STRATEGIES IN OBJECT BASES,"ALFONS KEMPER, DONALD KOSSMANN",VLDB,1994
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,AURORA: A DATA STREAM MANAGEMENT SYSTEM,"NESIME TATBUL, DANIEL J. ABADI, C. ERWIN, ANURAG MASKEY, MITCH CHERNIACK, ALEX RASIN, CHRISTIAN CONVEY, A. SINGER, EDUARDO F. GALVEZ, R. YAN, UGUR CETINTEMEL, YING XING, STANLEY B. ZDONIK, MICHAEL STONEBRAKER, DONALD CARNEY, M. HATOUN",SIGMOD Conference,2003
journals/vldb/SivasankaranSTPR96,PRIORITY ASSIGNMENT IN REAL-TIME ACTIVE DATABASES,"RAJENDRAN M. SIVASANKARAN, BHASKAR PURIMETLA, JOHN A. STANKOVIC, KRITHI RAMAMRITHAM, DONALD F. TOWSLEY",VLDB J.,1996
journals/vldb/SheikholeslamiCZ00,WAVECLUSTER: A WAVELET BASED CLUSTERING APPROACH FOR SPATIAL DATA IN VERY LARGE DATABASES,"SUROJIT CHATTERJEE, GHOLAMHOSEIN SHEIKHOLESLAMI, AIDONG ZHANG",VLDB J.,2000
journals/vldb/ChangG01,APPROXIMATE QUERY MAPPING: ACCOUNTING FOR TRANSLATION CLOSENESS,"HECTOR GARCIA-MOLINA, KEVIN CHEN-CHUAN CHANG",VLDB J.,2001
conf/vldb/ShaferAM96,SPRINT: A SCALABLE PARALLEL CLASSIFIER FOR DATA MINING,"JOHN C. SHAFER, RAKESH AGRAWAL, MANISH MEHTA",VLDB,1996
conf/sigmod/AgichteinGV01,SNOWBALL: A PROTOTYPE SYSTEM FOR EXTRACTING RELATIONS FROM LARGE TEXT COLLECTIONS,"JEFF PAVEL, LUIS GRAVANO, ALEKSANDR VOSKOBOYNIK, EUGENE AGICHTEIN, VIKTORIYA SOKOLOVA",SIGMOD Conference,2001
conf/sigmod/GriffinH97,A FRAMEWORK FOR IMPLEMENTING HYPOTHETICAL QUERIES,"TIMOTHY GRIFFIN, RICHARD HULL",SIGMOD Conference,1997
journals/vldb/IoannidisNSS97,PARAMETRIC QUERY OPTIMIZATION,"RAYMOND T. NG, TIMOS K. SELLIS, YANNIS E. IOANNIDIS, KYUSEOK SHIM",VLDB J.,1997
conf/vldb/CuiW01,LINEAGE TRACING FOR GENERAL DATA WAREHOUSE TRANSFORMATIONS,"YINGWEI CUI, JENNIFER WIDOM",VLDB,2001
journals/sigmod/Hammer02,REPORT ON THE ACM FOURTH INTERNATIONAL WORKSHOP ON DATA WAREHOUSING AND OLAP (DOLAP 2001),JOACHIM HAMMER,SIGMOD Record,2002
conf/vldb/Bar-YossefBCFW00,APPROXIMATING AGGREGATE QUERIES ABOUT WEB PAGES VIA RANDOM WALKS,"JITTAT FAKCHAROENPHOL, STEVE CHIEN, ZIV BAR-YOSSEF, ALEXANDER BERG, DROR WEITZ",VLDB,2000
journals/sigmod/FernandezFLS97,A QUERY LANGUAGE FOR A WEB-SITE MANAGEMENT SYSTEM,"DAN SUCIU, DANIELA FLORESCU, ALON Y. LEVY, MARY F. FERNANDEZ",SIGMOD Record,1997
conf/vldb/BertinoBFS96,SUPPORTING PERIODIC AUTHORIZATIONS AND TEMPORAL REASONING IN DATABASE ACCESS CONTROL,"ELENA FERRARI, PIERANGELA SAMARATI, CLAUDIO BETTINI, ELISA BERTINO",VLDB,1996
conf/sigmod/LiS98,FREE PARALLEL DATA MINING,"BIN LI, DENNIS SHASHA",SIGMOD Conference,1998
conf/vldb/ChenCFGJMTW99,HIGH LEVEL INDEXING OF USER-DEFINED TYPES,"BRIAN T. TRAN, JYH-HERNG CHOW, MICHELLE JOU, JEAN GRANDBOIS, YUN WANG, YOU-CHIN FUH, WEIDONG CHEN, NELSON MENDONCA MATTOS",VLDB,1999
conf/vldb/Bernstein94,PC DATABASE SYSTEMS - PRESENT AND FUTURE,PHILIP A. BERNSTEIN,VLDB,1994
conf/vldb/LuoN01,FORM-BASED PROXY CACHING FOR DATABASE-BACKED WEB SITES,"JEFFREY F. NAUGHTON, QIONG LUO",VLDB,2001
journals/vldb/AbiteboulCM98,A LOGICAL VIEW OF STRUCTURED FILES,"TOVA MILO, SERGE ABITEBOUL, SOPHIE CLUET",VLDB J.,1998
